Cod Empresa;Cod Item;Descricao;Qtde;C Cst Ctbil;F Cst For;Cst Cbil For;Pven Ic;Pven For;M1;M2;M3;M4;M5;M6;Curva;Ultima Compra;Ultima Venda;Pedido;Curva Portal;Locacao;Nome Fornecedor;Possui Pis;Possui Cofins;Status;Forn;Aplicacao
9;QMC-3011;GRAXA SPRAY;17;29,86;29,86;29,86;;43,50;1;1;0;1;0;0;B;31/10/2024;10/07/2026;QUIMICOS;B;1SALA J3;Outros;Sim;Sim;Ativo;2;
9;QMC-3012;DETERGENTE LIMPA VIDRO;4;14,96;14,96;14,96;33,89;33,89;1;3;1;1;4;0;A;10/03/2026;30/07/2026;QUIMAR;A;145HG1;Outros;Não;Não;Ativo;2;
9;RTMAB965;JG PROTETOR DE BORDAS S10;1;249,20;249,20;249,20;;450,00;0;0;0;0;0;0;D;28/11/2025;28/11/2025;NF MA;D;GERAL;Outros;Não;Não;Ativo;2;
9;RT-PATINETE;PATINETE ELETRICO;1;1.807,78;1.587,60;1.807,78;;2.500,00;0;0;2;0;0;0;B;27/04/2026;01/06/2026;NF 6234;B;VITRINE;Outros;Não;Não;Ativo;2;
9;RT12783;OLEO 75W80 CAMB GL4;1;79,86;79,86;79,86;;148,00;0;0;1;0;0;0;D;29/01/2026;19/05/2026;NF1278 KD;D;198BB1;Outros;Sim;Sim;Ativo;2;
9;RT4977;LAMPADA H1 DE LED;1;135,28;135,28;135,28;;300,00;0;0;0;0;0;0;D;23/07/2025;;NF BRASFORT;D;1SALA M2;Outros;Não;Não;Ativo;2;
9;VTR001;VITRIFICAÇÃO;7;157,55;142,02;157,55;1.500,00;1.500,00;13;12;9;8;15;7;A;27/07/2026;30/07/2026;NF 5899 ADTO;A;1SALA A1;Outros;Sim;Sim;Ativo;2;Produto para Vitrificação de Pintura - Vidros - e Plasticos 
9;WD40;ANTI COROSIVO;5;50,83;51,89;50,83;99,98;99,98;2;3;3;4;8;2;A;10/07/2026;27/07/2026;NF 34528;A;1SALA M2;Outros;Sim;Sim;Ativo;2;"DESCARBONIZANTE=CAR80
CAR90"
9;09594683;PORCA DE RODA;48;9,84;9,95;9,84;20,65;20,65;23;0;0;0;24;0;B;04/04/2026;17/07/2026;CVA129;B;105PH2;GM - Brasil;Sim;Sim;Ativo;1;S10 B - 2012 A 2020, TRAILBLAZER - 2013 A 2020
9;09598708;PORCA DA RODA;57;9,83;13,52;13,52;20,66;20,66;27;67;52;17;40;55;A;16/03/2026;27/07/2026;CVA110;A;110AB2;GM - Brasil;Sim;Sim;Ativo;1;CAPTIVA - 2008 A 2017, COBALT - 2012 A 2020, CRUZE A - 2012 A 2016, MALIBU - 2013 A 2013, ONIX - 2013 A 2019, PRISMA B - 2013 A 2019, S10 B - 2012 A 2020, SPIN - 2013 A 2020, TRAILBLAZER - 2013 A 2020
